avaliacoes,iteracao,temperatura
147101,147000,703.927
147601,147500,703.927
148101,148000,703.927
148601,148500,703.927
149101,149000,703.927
149601,149500,703.927
150101,150000,668.731
150601,150500,668.731
151101,151000,668.731
151601,151500,668.731
152101,152000,668.731
152601,152500,668.731
153101,153000,668.731
153601,153500,668.731
154101,154000,668.731
154601,154500,668.731
155101,155000,668.731
155601,155500,668.731
156101,156000,668.731
156601,156500,668.731
157101,157000,668.731
157601,157500,668.731
158101,158000,668.731
158601,158500,668.731
159101,159000,668.731
159601,159500,668.731
160101,160000,635.294
160601,160500,635.294
161101,161000,635.294
161601,161500,635.294
162101,162000,635.294
162601,162500,635.294
163101,163000,635.294
163601,163500,635.294
164101,164000,635.294
164601,164500,635.294
165101,165000,635.294
165601,165500,635.294
166101,166000,635.294
166601,166500,635.294
167101,167000,635.294
167601,167500,635.294
168101,168000,635.294
168601,168500,635.294
169101,169000,635.294
169601,169500,635.294
170101,170000,603.53
170601,170500,603.53
171101,171000,603.53
171601,171500,603.53
172101,172000,603.53
172601,172500,603.53
173101,173000,603.53
173601,173500,603.53
174101,174000,603.53
174601,174500,603.53
175101,175000,603.53
175601,175500,603.53
176101,176000,603.53
176601,176500,603.53
177101,177000,603.53
177601,177500,603.53
178101,178000,603.53
178601,178500,603.53
179101,179000,603.53
179601,179500,603.53
180101,180000,573.353
180601,180500,573.353
181101,181000,573.353
181601,181500,573.353
182101,182000,573.353
182601,182500,573.353
183101,183000,573.353
183601,183500,573.353
184101,184000,573.353
184601,184500,573.353
185101,185000,573.353
185601,185500,573.353
186101,186000,573.353
186601,186500,573.353
187101,187000,573.353
187601,187500,573.353
188101,188000,573.353
188601,188500,573.353
189101,189000,573.353
189601,189500,573.353
190101,190000,544.685
190601,190500,544.685
191101,191000,544.685
191601,191500,544.685
192101,192000,544.685
192601,192500,544.685
193101,193000,544.685
193601,193500,544.685
194101,194000,544.685
194601,194500,544.685
195101,195000,544.685
195601,195500,544.685
196101,196000,544.685
196601,196500,544.685
197101,197000,544.685
197601,197500,544.685
198101,198000,544.685
198601,198500,544.685
199101,199000,544.685
199601,199500,544.685
200101,200000,517.451
200601,200500,517.451
201101,201000,517.451
201601,201500,517.451
202101,202000,517.451
202601,202500,517.451
203101,203000,517.451
203601,203500,517.451
204101,204000,517.451
204601,204500,517.451
205101,205000,517.451
205601,205500,517.451
206101,206000,517.451
206601,206500,517.451
207101,207000,517.451
207601,207500,517.451
208101,208000,517.451
208601,208500,517.451
209101,209000,517.451
209601,209500,517.451
210101,210000,491.579
210601,210500,491.579
211101,211000,491.579
211601,211500,491.579
212101,212000,491.579
212601,212500,491.579
213101,213000,491.579
213601,213500,491.579
214101,214000,491.579
214601,214500,491.579
215101,215000,491.579
215601,215500,491.579
216101,216000,491.579
216601,216500,491.579
217101,217000,491.579
217601,217500,491.579
218101,218000,491.579
218601,218500,491.579
219101,219000,491.579
219601,219500,491.579
220101,220000,467
220601,220500,467
221101,221000,467
221601,221500,467
222101,222000,467
222601,222500,467
223101,223000,467
223601,223500,467
224101,224000,467
224601,224500,467
225101,225000,467
225601,225500,467
226101,226000,467
226601,226500,467
227101,227000,467
227601,227500,467
228101,228000,467
228601,228500,467
229101,229000,467
229601,229500,467
230101,230000,443.65
230601,230500,443.65
231101,231000,443.65
231601,231500,443.65
232101,232000,443.65
232601,232500,443.65
233101,233000,443.65
233601,233500,443.65
234101,234000,443.65
234601,234500,443.65
235101,235000,443.65
235601,235500,443.65
236101,236000,443.65
236601,236500,443.65
237101,237000,443.65
237601,237500,443.65
238101,238000,443.65
